# L2_basket_weight,L2_pyramidal_weight,L5_basket_weight,L5_pyramidal_weight,L6_basket_weight,L6_pyramidal_weight
5.823801023405118966e-04,8.617101631605665613e-04,9.603200828904341754e-04,2.900971997811154900e-03,7.081385474760127415e-04,9.151705407062075449e-04
5.831130476886578311e-04,8.605059264791815833e-04,9.592262883355278519e-04,2.886360386748226033e-03,7.111785089595215820e-04,8.753423161715469334e-04
