# L2_basket_weight,L2_pyramidal_weight,L5_basket_weight,L5_pyramidal_weight,L6_basket_weight,L6_pyramidal_weight
6.289657993813411703e-04,9.358499249274205602e-04,9.886578056957024199e-04,2.991545730497045634e-03,9.394567594233604315e-04,9.406783797610669077e-04
6.290324354939727698e-04,9.353922700517455649e-04,1.000000000000000021e-03,2.985341075876337194e-03,9.389165441523794403e-04,9.415447177811989490e-04
